Comparison,Time Taken,S
515475,38585436,1
853005,37119404,2
897734,37294995,3
897734,37731198,4
1385285,37226225,5
1500614,37772677,6
1500614,38065966,7
1500614,41896088,8
1500614,41515930,9
1500614,41754069,10
2077867,40919815,11
2428327,40650570,12
2428327,40634449,13
2428327,40865272,14
2428327,93837890,15
2428327,69925444,16
2428327,50585358,17
2428327,48725603,18
2428327,65480414,19
2428327,57079837,20
2428327,47383095,21
2428327,45811588,22
3019001,45661897,23
3761251,45396035,24
3761251,45708135,25
3761251,48147688,26
3761251,48113942,27
3761251,52054533,28
3761251,58266909,29
3761251,48475569,30
3761251,48157611,31
3761251,54320059,32
3761251,61407248,33
3761251,68101200,34
3761251,56682184,35
3761251,61949728,36
3761251,57746175,37
3761251,58089968,38
3761251,57052403,39
3761251,60966010,40
3761251,57000703,41
3761251,59833767,42
3761251,53258150,43
3761251,62929741,44
3761251,58003321,45
3761251,54638795,46
3996612,63628272,47
6035606,58097727,48
6035606,56495901,49
6035606,54285697,50
6035606,50909106,51
6035606,47496994,52
6035606,47411605,53
6035606,47750494,54
6035606,48826010,55
6035606,51271860,56
6035606,52033899,57
6035606,48096507,58
6035606,48331040,59
6035606,52587011,60
6035606,47926314,61
6035606,47845841,62
6035606,47689172,63
