Comparison,Time Taken,S
20189198,24923824,1
-13747489,19348539,2
-12493369,20560244,3
-3305325,32014978,4
-3305325,25026079,5
-3305325,22101607,6
-3305325,22358838,7
-2068500,28382500,8
1909450,23166375,9
1909450,22828834,10
1909450,22858013,11
1909450,22924455,12
1909450,22845123,13
1909450,22737881,14
1909450,22985196,15
1909450,22986024,16
1909450,22743684,17
3144231,23495943,18
4499822,23968192,19
4499822,24125953,20
4499822,24229122,21
4499822,24146748,22
4499822,24308991,23
4499822,25337236,24
4499822,24352392,25
4499822,24306620,26
4499822,24257885,27
4499822,24335314,28
4499822,24065163,29
4499822,24107990,30
4499822,24251679,31
4499822,24119761,32
4499822,27825329,33
4499822,34681674,34
4499822,69555445,35
4499822,22937533,36
4499822,21958552,37
5719695,22365979,38
5804203,22543256,39
5804203,23980597,40
5804203,25154594,41
5804203,25323873,42
5804203,25172391,43
5804203,24990145,44
5804203,25117207,45
5804203,24933788,46
5804203,24747017,47
5804203,25207467,48
5804203,24953775,49
5804203,25544500,50
5804203,25149737,51
5804203,25243990,52
5804203,25186269,53
5804203,25366154,54
5804203,25254762,55
5804203,25304042,56
5804203,25236687,57
5804203,25527189,58
5804203,25523008,59
5804203,25714443,60
5804203,25519631,61
5804203,25736008,62
5804203,25893110,63
5804203,25756500,64
533,0,1
532,0,2
533,1039266,3
533,0,4
552,999927,5
550,0,6
550,0,7
550,998735,8
550,0,9
550,0,10
583,1005411,11
609,0,12
609,0,13
609,995159,14
609,0,15
609,0,16
609,960826,17
609,0,18
609,999927,19
609,0,20
609,999689,21
609,0,22
609,0,23
838,1000165,24
838,0,25
838,999927,26
838,1010656,27
838,0,28
838,1990318,29
838,0,30
838,1058340,31
838,0,32
838,951528,33
838,572443,34
838,941038,35
838,0,36
838,998020,37
838,0,38
838,1092672,39
838,0,40
838,990867,41
838,0,42
838,1039266,43
838,0,44
838,0,45
838,998258,46
838,553131,47
838,0,48
1325,1044034,49
1325,0,50
1325,1005887,51
1325,0,52
1325,987291,53
1325,0,54
1325,1010179,55
1325,0,56
1325,991821,57
1325,0,58
1325,1006841,59
1325,0,60
1325,1000642,61
1325,0,62
1325,0,63
1325,1003742,64
