Comparison,Time Taken,S
2404203,18835100,1
4154373,8596200,2
4237890,7620300,3
4237890,8259400,4
7198078,11017300,5
7821672,12899600,6
7821672,9585900,7
7821672,10421100,8
7821672,14306100,9
7821672,18023600,10
12559803,17700400,11
15002198,14413300,12
15002198,17062800,13
15002198,15898400,14
15002198,14168200,15
15002198,12750500,16
15002198,12875500,17
15002198,13264400,18
15002198,14086200,19
15002198,14318900,20
15002198,13933800,21
15002198,14299600,22
18532138,16138200,23
21800900,16362400,24
21800900,18142500,25
21800900,17866500,26
21800900,17608200,27
21800900,15498600,28
21800900,13678300,29
21800900,12897100,30
21800900,12808100,31
21800900,12911200,32
21800900,13345600,33
21800900,12861600,34
21800900,12857500,35
21800900,12905000,36
21800900,14390900,37
21800900,15614800,38
21800900,14155600,39
21800900,15118500,40
21800900,14133700,41
21800900,13950200,42
21800900,16847100,43
21800900,13573700,44
21800900,14033900,45
21800900,13651200,46
21766893,13527600,47
43522216,26083900,48
43522216,27826100,49
43522216,23679700,50
43522216,25100500,51
43522216,23841600,52
43522216,26300000,53
43522216,24235800,54
43522216,28477300,55
43522216,26395100,56
43522216,25928200,57
43522216,29256700,58
43522216,26436400,59
43522216,24964700,60
43522216,24106400,61
43522216,25154000,62
43522216,25974000,63
43522216,25200900,64
43522216,26752500,65
