Comparison,Time Taken,S
14504,87020,1
14779,72499,2
21788,79085,3
21788,67659,4
21788,63477,5
22675,50110,6
31752,45404,7
31752,45909,8
31752,45675,9
31752,45235,10
31752,46294,11
31752,43881,12
31752,43352,13
34687,42868,14
44908,45779,15
44908,45819,16
44908,48950,17
44908,46747,18
44908,43330,19
44908,43725,20
44908,43058,21
44908,43600,22
44908,47375,23
44908,44253,24
44908,42824,25
44908,42045,26
44908,42133,27
44908,43653,28
44908,42251,29
56468,46590,30
63346,54511,31
63346,54244,32
63346,57044,33
63346,49864,34
63346,49387,35
63346,50257,36
63346,49293,37
63346,50030,38
63346,50373,39
63346,52319,40
63346,50299,41
63346,50790,42
63346,53795,43
63346,48638,44
63346,49296,45
63346,51927,46
63346,50833,47
63346,48505,48
63346,48625,49
63346,49172,50
63346,49048,51
63346,51539,52
63346,50763,53
63346,51256,54
63346,49620,55
63346,50440,56
63346,50588,57
63346,49956,58
63346,50545,59
63346,50893,60
72633,53213,61
90899,59752,62
90899,59953,63
90899,59617,64
90899,61249,65
