Comparison,Time Taken,S
67200,292762,2
66960,281539,3
63344,247503,4
63344,217045,5
63344,167031,6
63344,156694,7
62384,146959,8
59248,128826,9
59248,115463,10
59248,104041,11
59248,99288,12
59248,88019,13
59248,81307,14
59248,78543,15
59248,75691,16
59248,79006,17
57088,71514,18
54640,69466,19
54640,68978,20
54640,68379,21
54640,65500,22
54640,68049,23
54640,67701,24
54640,64228,25
54640,64003,26
54640,63358,27
54640,62782,28
54640,60252,29
54640,59983,30
54640,59741,31
54640,58053,32
54640,57720,33
54640,57572,34
54640,58168,35
54640,57476,36
54640,57966,37
50080,54705,38
49776,54975,39
49776,55168,40
49776,54790,41
49776,52933,42
49776,52510,43
49776,52714,44
49776,52618,45
49776,57508,46
49776,55714,47
49776,55122,48
49776,55104,49
49776,55492,50
49776,54680,51
49776,53822,52
49776,53105,53
49776,52537,54
49776,52774,55
49776,52636,56
49776,51664,57
49776,50661,58
49776,50768,59
49776,50781,60
49776,52093,61
49776,50779,62
49776,50797,63
49776,50603,64
