Comparison,Time Taken,S
822832,2562056,2
821136,2850935,3
821136,1872598,4
791760,1079547,5
786672,992261,6
786672,1013629,7
786672,942746,8
786672,918753,9
786672,925500,10
754192,830763,11
744016,804569,12
744016,800553,13
744016,832402,14
744016,792026,15
744016,833099,16
744016,752361,17
744016,965616,18
744016,1630313,19
744016,1070634,20
744016,989168,21
744016,858584,22
717616,810977,23
697264,702770,24
697264,747518,25
697264,712569,26
697264,720386,27
697264,670341,28
697264,686421,29
697264,678477,30
697264,680963,31
697264,711393,32
697264,726397,33
697264,742878,34
697264,734284,35
697264,735119,36
697264,699278,37
697264,750297,38
697264,710213,39
697264,674921,40
697264,699102,41
697264,686548,42
697264,692666,43
697264,665430,44
697264,701478,45
697264,702231,46
689168,681196,47
648464,641214,48
648464,611687,49
648464,589518,50
648464,611550,51
648464,565883,52
648464,591295,53
648464,590857,54
648464,592056,55
648464,594598,56
648464,615236,57
648464,606766,58
648464,585862,59
648464,619040,60
648464,582084,61
648464,612600,62
648464,599014,63
648464,588289,64
