Array Size, Time Difference1, -2.0199999937631215e-07
2, 3.9200000742312106e-07
3, 1.2190000012424206e-06
4, 1.5019999983678645e-06
5, 1.9060000039416992e-06
6, 2.6209999981574585e-06
7, 2.622000001224478e-06
8, 2.762999997685256e-06
9, 3.4939999989092027e-06
10, 4.0339999969774e-06
11, 6.4160000039237286e-06
12, 5.158999998116086e-06
13, 4.31100000241713e-06
14, 4.364999999211249e-06
15, 6.565999995586936e-06
16, 5.186999998727514e-06
17, 5.407999997260048e-06
18, 5.275000002598063e-06
19, 6.554999998797939e-06
20, 4.5400000010431555e-06
21, 4.639000002271133e-06
22, 4.440999998678307e-06
23, 4.239000002144167e-06
24, 3.821000001380524e-06
25, 3.655999998386504e-06
26, 6.340999998997173e-06
27, 3.0240000029380085e-06
28, 9.322999998744303e-06
29, 2.6849999932210248e-06
30, 1.9580000042651604e-06
31, -1.3879999977461886e-06
32, -2.137000004722727e-06
33, 2.4189999999180123e-06
34, 8.699999739292171e-08
35, -6.240000021762168e-07
36, -2.2009999986494244e-06
37, -4.4249999945122895e-06
38, -4.135000004907851e-06
39, -4.687000009084839e-06
40, -6.518000001847217e-06
41, -7.614999995553261e-06
42, -7.814999999595781e-06
43, -9.781999997926506e-06
44, -1.1014000002660388e-05
45, -1.3150999998288177e-05
46, -1.3736999998172903e-05
47, -1.5372999996543513e-05
48, -1.6147000004593798e-05
49, -1.8415000007507835e-05
50, -2.1309999995651195e-05
51, -2.283400000294478e-05
52, -2.5934999997616613e-05
53, -2.5800999997045447e-05
54, -2.844099999890659e-05
55, -3.055399999595921e-05
56, -3.142400000285762e-05
57, -3.4153000001424516e-05
58, -3.624600000023293e-05
59, -3.88599999979533e-05
60, -4.0691999997761755e-05
61, -4.326899999853139e-05
62, -4.6005999996054934e-05
63, -4.893900000183749e-05
64, -4.953699999759921e-05
65, -5.159300000457278e-05
66, -5.382500000109757e-05
67, -5.482499999573066e-05
68, -6.332900000018073e-05
69, -6.215399999746295e-05
70, -6.757100000356786e-05
71, -7.091000000002622e-05
72, -7.896500000185823e-05
73, -7.375500000136981e-05
74, -7.67539999969813e-05
75, -8.255899999880967e-05
76, -8.010900000101628e-05
77, -8.742400000357976e-05
78, -9.174399999892556e-05
79, -9.292800000537226e-05
80, -0.0001016409999976986
81, -0.00010165400000403226
82, -0.00010451100000352653
83, -0.00010948399999676894
84, -0.00011880899999766828
85, -0.00011423700000193549
86, -0.00011851499999579573
87, -0.00011962799999821528
88, -0.00012334399999929245
89, -0.00012908200000083525
90, -0.00013717600000290987
91, -0.00013699199999791742
92, -0.00014282200000025112
93, -0.0001547339999996211
94, -0.00015218399999469056
95, -0.0001572049999970204
96, -0.0001537189999982047
97, -0.00016076399999349179
98, -0.00016653500000074928
99, -0.00017349899999999255
